disease,symptom,importance
cholecystitis,pain in upper-right abdomen,0.026
cholecystitis,abdominal cramping from gallstones,0.023
cholecystitis,yellow skin and eyes,0.023
cholecystitis,constipation,0.017
cholecystitis,discomfort,0.015
cholecystitis,infection,0.014
cholecystitis,upper abdominal pain,0.014
cholecystitis,sharp pain,0.013
cholecystitis,lethargy,0.013
cholecystitis,loss of appetite,0.011
cholecystitis,pain during urination,0.009
chronic kidney disease,kidney failure,0.041
chronic kidney disease,low blood pressure,0.033
chronic kidney disease,infection,0.03
chronic kidney disease,weakness,0.029
chronic kidney disease,fever,0.022
chronic kidney disease,diarrhea,0.02
chronic kidney disease,coughing,0.02
chronic kidney disease,shortness of breath,0.019
chronic kidney disease,vomiting,0.019
chronic kidney disease,lethargy,0.015
chronic kidney disease,chills,0.012
chronic kidney disease,bleeding,0.011
chronic kidney disease,abdominal pain,0.01
chronic kidney disease,fatigue,0.009
chronic kidney disease,low oxygen in the body,0.008
chronic kidney disease,cough with phlegm,0.007
chronic kidney disease,malaise,0.007
chronic kidney disease,confusion,0.006
chronic kidney disease,fluid in the lungs,0.006
chronic kidney disease,redness,0.005
chronic kidney disease,mental confusion,0.005
chronic obstructive pulmonary disease,coughing,0.186
chronic obstructive pulmonary disease,shortness of breath,0.112
chronic obstructive pulmonary disease,cough with phlegm,0.071
chronic obstructive pulmonary disease,wheezing,0.066
chronic obstructive pulmonary disease,low oxygen in the body,0.026
chronic obstructive pulmonary disease,acute episodes,0.02
chronic obstructive pulmonary disease,lethargy,0.015
chronic obstructive pulmonary disease,fever,0.013
chronic obstructive pulmonary disease,chills,0.013
chronic obstructive pulmonary disease,chest tightness,0.012
chronic obstructive pulmonary disease,respiratory distress,0.012
chronic obstructive pulmonary disease,difficulty breathing,0.011
chronic obstructive pulmonary disease,weakness,0.01
chronic obstructive pulmonary disease,phlegm,0.01
chronic obstructive pulmonary disease,fatigue,0.008
chronic obstructive pulmonary disease,fast breathing,0.008
chronic obstructive pulmonary disease,chronic cough,0.006
chronic obstructive pulmonary disease,anxiety,0.006
chronic obstructive pulmonary disease,low blood pressure,0.006
chronic obstructive pulmonary disease,dry cough,0.006
chronic obstructive pulmonary disease,fast heart rate,0.006
chronic obstructive pulmonary disease,sadness,0.005
chronic obstructive pulmonary disease,depression,0.005
chronic obstructive pulmonary disease,confusion,0.005
chronic obstructive pulmonary disease,infection,0.005
chronic obstructive pulmonary disease,chest pressure,0.005
chronic pain,pain,0.556
chronic pain,back pain,0.114
chronic pain,abdominal pain,0.074
chronic pain,sadness,0.07
chronic pain,depression,0.07
chronic pain,chronic back pain,0.058
chronic pain,nausea,0.053
chronic pain,anxiety,0.041
chronic pain,leg pain,0.038
chronic pain,weakness,0.031
chronic pain,numbness,0.026
chronic pain,neck pain,0.025
chronic pain,vomiting,0.023
chronic pain,knee pain,0.022
chronic pain,diarrhea,0.021
chronic pain,shoulder pain,0.02
chronic pain,hip pain,0.019
chronic pain,constipation,0.019
chronic pain,tenderness,0.018
chronic pain,severe pain,0.018
chronic pain,crying,0.017
chronic pain,falling,0.016
cirrhosis of the liver,fluid in the abdomen,0.229
cirrhosis of the liver,abdominal pain,0.097
cirrhosis of the liver,pain,0.096
cirrhosis of the liver,nausea,0.072
cirrhosis of the liver,yellow skin and eyes,0.071
cirrhosis of the liver,swollen veins in the lower esophagus,0.067
cirrhosis of the liver,confusion,0.055
cirrhosis of the liver,mental confusion,0.049
cirrhosis of the liver,lethargy,0.045
cirrhosis of the liver,vomiting,0.044
cirrhosis of the liver,weakness,0.039
cirrhosis of the liver,diarrhea,0.037
cirrhosis of the liver,abdominal distension,0.03
cirrhosis of the liver,vomiting blood,0.03
cirrhosis of the liver,chills,0.029
cirrhosis of the liver,fatigue,0.028
cirrhosis of the liver,bleeding,0.027
cirrhosis of the liver,dark stool from digested blood,0.025
cirrhosis of the liver,flapping tremor,0.025
cirrhosis of the liver,shortness of breath,0.022
cirrhosis of the liver,fever,0.02
cirrhosis of the liver,low blood pressure,0.018
cirrhosis of the liver,weight gain,0.016
cirrhosis of the liver,discomfort,0.015
cirrhosis of the liver,bleeding from anus,0.014
cirrhosis of the liver,swelling,0.013
cirrhosis of the liver,infection,0.013
cirrhosis of the liver,lightheadedness,0.008
cirrhosis of the liver,abdominal discomfort,0.007
cirrhosis of the liver,bruising,0.007
cirrhosis of the liver,kidney failure,0.007
cirrhosis of the liver,coughing,0.007
cirrhosis of the liver,lesion,0.007
cirrhosis of the liver,dizziness,0.006
cirrhosis of the liver,pain in upper abdomen,0.006
colon cancer,nausea,0.179
colon cancer,abdominal pain,0.137
colon cancer,vomiting,0.107
colon cancer,pain,0.104
colon cancer,diarrhea,0.076
colon cancer,constipation,0.06
colon cancer,bowel obstruction,0.047
colon cancer,weakness,0.043
colon cancer,lethargy,0.038
colon cancer,fatigue,0.03
colon cancer,chills,0.029
colon cancer,dehydration,0.028
colon cancer,shortness of breath,0.027
colon cancer,discomfort,0.025
colon cancer,low blood pressure,0.022
colon cancer,dizziness,0.022
colon cancer,fast heart rate,0.02
colon cancer,infection,0.019
colon cancer,blood in stool,0.017
colon cancer,loss of appetite,0.016
colon cancer,cramping,0.015
colon cancer,back pain,0.012
colon cancer,failure to thrive,0.012
colon cancer,poor appetite,0.011
colon cancer,sadness,0.01
colon cancer,dark stool from digested blood,0.01
colon cancer,depression,0.01
colon cancer,weight loss,0.01
common cold,chills,0.083
common cold,sore throat,0.075
common cold,coughing,0.071
common cold,fever,0.057
common cold,nasal congestion,0.039
common cold,headache,0.036
common cold,runny nose,0.029
common cold,numbness,0.024
common cold,dry cough,0.019
common cold,nausea,0.018
common cold,fatigue,0.014
common cold,ear pain,0.013
common cold,dizziness,0.012
common cold,diarrhea,0.011
common cold,malaise,0.011
common cold,fainting,0.01
common cold,lethargy,0.009
common cold,lightheadedness,0.008
common cold,sneezing,0.008
common cold,discomfort,0.008
common cold,shivering,0.007
common cold,stuffy nose,0.007
common cold,racing heartbeat,0.006
common cold,sinus pressure,0.006
common cold,feeling cold,0.005
common cold,foot pain,0.004
common cold,pins and needles,0.004
common cold,sweating,0.004
common cold,phlegm,0.004
common cold,skin rash,0.004
common cold,sensitivity to light,0.004
common cold,night sweats,0.004
common cold,low body temperature,0.004
common cold,mild cough,0.003
common cold,eye redness,0.003
common cold,cough with phlegm,0.003
common cold,loss of appetite,0.003
common cold,head congestion,0.003
common cold,leg pain,0.003
common cold,ache,0.003
concussion,headache,0.24
concussion,nausea,0.176
concussion,neck pain,0.118
concussion,dizziness,0.112
concussion,tenderness,0.082
concussion,blurred vision,0.046
concussion,confusion,0.045
concussion,fainting,0.042
concussion,mental confusion,0.04
concussion,bruising,0.038
concussion,falling,0.038
concussion,sensitivity to light,0.031
concussion,vomiting,0.027
concussion,lightheadedness,0.021
concussion,amnesia,0.019
concussion,shoulder pain,0.018
concussion,back pain,0.017
concussion,numbness,0.016
concussion,difficulty concentrating,0.015
concussion,memory loss,0.014
concussion,double vision,0.014
concussion,lethargy,0.011
concussion,vertigo,0.011
concussion,elbow pain,0.01
concussion,stiffness,0.01
concussion,rib pain,0.009
concussion,unsteady gait,0.009
concussion,fatigue,0.008
concussion,persistent headache,0.007
concussion,knee pain,0.007
concussion,ache,0.007
concussion,arm pain,0.007
concussion,rapid involuntary eye movement,0.006
concussion,disorientation,0.006
concussion,ice pack,0.006
concussion,severe headache,0.005
concussion,malnutrition,0.005
concussion,fear of loud sounds,0.004
concussion,facial pain,0.004
congestive heart failure,shortness of breath,0.293
congestive heart failure,swelling,0.097
congestive heart failure,coughing,0.095
congestive heart failure,shortness of breath while lying down,0.08
congestive heart failure,weight gain,0.065
congestive heart failure,fluid in the lungs,0.052
congestive heart failure,wheezing,0.04
congestive heart failure,low oxygen in the body,0.034
congestive heart failure,cough with phlegm,0.027
congestive heart failure,lethargy,0.024
congestive heart failure,difficulty breathing,0.021
congestive heart failure,chest pressure,0.018
congestive heart failure,dry cough,0.017
congestive heart failure,fatigue,0.017
congestive heart failure,respiratory distress,0.017
congestive heart failure,chest tightness,0.013
congestive heart failure,fast breathing,0.013
congestive heart failure,swelling in extremities,0.012
congestive heart failure,kidney failure,0.011
congestive heart failure,regurgitation,0.009
congestive heart failure,weakness,0.008
congestive heart failure,phlegm,0.008
congestive heart failure,low blood pressure,0.008
congestive heart failure,chest discomfort,0.006
congestive heart failure,slow heart rate,0.004
congestive heart failure,mild cough,0.004
congestive heart failure,chronic cough,0.004
coronary artery disease,shortness of breath,0.051
coronary artery disease,regurgitation,0.022
coronary artery disease,fainting,0.022
coronary artery disease,low blood pressure,0.021
coronary artery disease,lesion,0.021
coronary artery disease,chest pressure,0.018
coronary artery disease,depression,0.016
coronary artery disease,sadness,0.015
coronary artery disease,weakness,0.013
coronary artery disease,back pain,0.012
coronary artery disease,malnutrition,0.011
coronary artery disease,discomfort,0.01
coronary artery disease,chest discomfort,0.008
coronary artery disease,leg pain,0.007
coronary artery disease,infection,0.007
coronary artery disease,leg pain during exercise,0.006
crohn's disease,pain,0.548
crohn's disease,abdominal pain,0.292
crohn's disease,nausea,0.276
crohn's disease,acute episodes,0.245
crohn's disease,diarrhea,0.201
crohn's disease,vomiting,0.133
crohn's disease,chills,0.093
crohn's disease,fever,0.061
crohn's disease,bowel obstruction,0.043
crohn's disease,cramping,0.042
crohn's disease,tenderness,0.038
crohn's disease,dehydration,0.027
crohn's disease,discomfort,0.025
crohn's disease,lower abdominal pain,0.022
crohn's disease,blood in stool,0.02
crohn's disease,infection,0.019
crohn's disease,rectal pain,0.016
crohn's disease,bleeding from anus,0.015
crohn's disease,constipation,0.013
crohn's disease,lethargy,0.013
crohn's disease,fatigue,0.012
crohn's disease,pain in upper abdomen,0.011
crohn's disease,low blood pressure,0.01
crohn's disease,pain during urination,0.009
crohn's disease,watery diarrhea,0.009
crohn's disease,abdominal discomfort,0.009
crohn's disease,weight loss,0.008
crohn's disease,belching,0.008
crohn's disease,abdominal tenderness,0.008
crohn's disease,abdominal distension,0.007
crohn's disease,lightheadedness,0.007
crohn's disease,sharp pain,0.006
crohn's disease,bone loss,0.005
deep vein thrombosis,pain,0.284
deep vein thrombosis,swelling,0.237
deep vein thrombosis,leg pain,0.095
deep vein thrombosis,calf pain,0.052
deep vein thrombosis,shortness of breath,0.037
deep vein thrombosis,lower extremity pain,0.032
deep vein thrombosis,coughing,0.028
deep vein thrombosis,fast heart rate,0.024
deep vein thrombosis,malnutrition,0.02
deep vein thrombosis,weakness,0.02
deep vein thrombosis,tenderness,0.019
deep vein thrombosis,bleeding,0.019
deep vein thrombosis,coughing up blood,0.017
deep vein thrombosis,discomfort,0.014
deep vein thrombosis,arm pain,0.013
deep vein thrombosis,redness,0.011
dementia,confusion,0.121
dementia,mental confusion,0.093
dementia,fainting,0.042
dementia,agitation,0.038
dementia,hip pain,0.026
dementia,lethargy,0.02
dementia,weakness,0.018
dementia,delirium,0.018
dementia,low blood pressure,0.017
dementia,seizures,0.011
dementia,bruising,0.011
dementia,wandering and getting lost,0.011
dementia,low oxygen in the body,0.011
dementia,depression,0.011
dementia,sadness,0.01
dementia,incontinence,0.01
dementia,failure to thrive,0.009
dementia,infection,0.009
dementia,falling,0.009
dementia,leaking of urine,0.008
dementia,dehydration,0.007
dementia,paranoia,0.007
dementia,memory loss,0.007
dementia,screaming,0.006
dementia,visual hallucinations,0.005
dementia,confusion in the evening hours,0.005
dementia,unsteady gait,0.004
dementia,aggression,0.004
dementia,fast breathing,0.004
dementia,difficulty swallowing,0.003
dementia,malnutrition,0.003
dementia,slow heart rate,0.003
dementia,kidney failure,0.003
diverticulitis,pain,0.657
diverticulitis,abdominal pain,0.271
diverticulitis,nausea,0.224
diverticulitis,diarrhea,0.152
diverticulitis,chills,0.121
diverticulitis,fever,0.072
diverticulitis,vomiting,0.059
diverticulitis,constipation,0.057
diverticulitis,tenderness,0.051
diverticulitis,cramping,0.044
diverticulitis,lower abdominal pain,0.041
diverticulitis,acute episodes,0.026
diverticulitis,discomfort,0.026
diverticulitis,pain during urination,0.021
diverticulitis,loss of appetite,0.017
diverticulitis,flank pain,0.015
diverticulitis,blood in stool,0.014
diverticulitis,bowel obstruction,0.014
diverticulitis,abdominal discomfort,0.012
diverticulitis,bleeding from anus,0.012
diverticulitis,watery diarrhea,0.01
diverticulitis,blood in urine,0.01
diverticulitis,pain in upper abdomen,0.01
diverticulitis,pain in lower abdomen,0.009
diverticulitis,severe pain,0.007
diverticulitis,abdominal tenderness,0.006
diverticulosis,pain,0.187
diverticulosis,diarrhea,0.116
diverticulosis,abdominal pain,0.11
diverticulosis,nausea,0.084
diverticulosis,bleeding from anus,0.084
diverticulosis,cramping,0.06
diverticulosis,bleeding,0.059
diverticulosis,constipation,0.04
diverticulosis,vomiting,0.038
diverticulosis,lightheadedness,0.034
diverticulosis,dizziness,0.026
diverticulosis,lower abdominal pain,0.026
diverticulosis,discomfort,0.025
diverticulosis,blood in stool,0.02
diverticulosis,dark stool from digested blood,0.02
diverticulosis,chills,0.018
diverticulosis,lesion,0.017
diverticulosis,cyst,0.017
drug withdrawal,sadness,0.186
drug withdrawal,depression,0.184
drug withdrawal,anxiety,0.182
drug withdrawal,nausea,0.083
drug withdrawal,seizures,0.049
drug withdrawal,thoughts of suicide,0.049
drug withdrawal,substance abuse,0.038
drug withdrawal,diarrhea,0.037
drug withdrawal,vomiting,0.035
drug withdrawal,panic attack,0.03
drug withdrawal,insomnia,0.027
drug withdrawal,crying,0.024
drug withdrawal,agitation,0.024
drug withdrawal,racing heartbeat,0.021
drug withdrawal,chills,0.021
drug withdrawal,fast heart rate,0.021
drug withdrawal,confusion,0.02
drug withdrawal,severe anxiety,0.014
drug withdrawal,cramping,0.014
drug withdrawal,racing thoughts,0.013
drug withdrawal,mental confusion,0.012
drug withdrawal,restlessness,0.012
drug withdrawal,visual hallucinations,0.011
drug withdrawal,hopelessness,0.011
drug withdrawal,paranoia,0.011
drug withdrawal,hallucination,0.01
drug withdrawal,muscle pain,0.009
drug withdrawal,tremor,0.008
drug withdrawal,sleepiness,0.007
drug withdrawal,hearing voices,0.007
drug withdrawal,screaming,0.006
drug withdrawal,leg pain,0.006
drug withdrawal,discomfort in upper abdomen,0.006
drug withdrawal,guilt,0.006
drug withdrawal,chronic back pain,0.006
drug withdrawal,bruising,0.006
drug withdrawal,falling,0.006
drug withdrawal,abdominal pain,0.006
drug withdrawal,nightmares,0.005
drug withdrawal,runny nose,0.005
drug withdrawal,joint pain,0.005
drug withdrawal,loss of interest,0.004
drug withdrawal,impulsivity,0.004
drug withdrawal,lethargy,0.004
drug withdrawal,slowness in activity and thought,0.004
drug withdrawal,restless legs syndrome,0.004
drug withdrawal,trembling,0.004
drug withdrawal,wheezing,0.004
drug withdrawal,dry skin,0.004
drug withdrawal,wandering and getting lost,0.004
drug withdrawal,fear,0.004
drug withdrawal,nasal congestion,0.003
drug withdrawal,weight loss,0.003
drug withdrawal,blotchy rash,0.003
ectopic pregnancy,pain,0.537
ectopic pregnancy,bleeding,0.204
ectopic pregnancy,vaginal bleeding,0.181
ectopic pregnancy,abdominal pain,0.167
ectopic pregnancy,cramping,0.155
ectopic pregnancy,spotting,0.154
ectopic pregnancy,nausea,0.104
ectopic pregnancy,cyst,0.067
ectopic pregnancy,tenderness,0.055
ectopic pregnancy,lower abdominal pain,0.048
ectopic pregnancy,pelvic pain,0.04
ectopic pregnancy,diarrhea,0.031
ectopic pregnancy,vaginal discharge,0.023
ectopic pregnancy,discomfort,0.02
ectopic pregnancy,vomiting,0.016
ectopic pregnancy,back pain,0.015
ectopic pregnancy,vaginal pain,0.014
ectopic pregnancy,lightheadedness,0.011
encephalitis,confusion,0.16
encephalitis,mental confusion,0.117
encephalitis,headache,0.112
encephalitis,fever,0.104
encephalitis,seizures,0.08
encephalitis,lethargy,0.052
encephalitis,dizziness,0.047
encephalitis,weakness,0.035
encephalitis,fatigue,0.031
encephalitis,stiff neck,0.026
encephalitis,slurred speech,0.024
encephalitis,blurred vision,0.022
encephalitis,severe headache,0.021
encephalitis,skin rash,0.02
encephalitis,infection,0.019
encephalitis,poor appetite,0.019
encephalitis,delirium,0.019
encephalitis,agitation,0.017
encephalitis,neck pain,0.017
encephalitis,fluid in the abdomen,0.016
encephalitis,anxiety,0.015
encephalitis,blood in urine,0.015
encephalitis,low blood pressure,0.015
encephalitis,severe pain,0.014
encephalitis,visual hallucinations,0.013
encephalitis,forgetfulness,0.013
encephalitis,high fever,0.012
encephalitis,lesion,0.012
encephalitis,blister,0.012
encephalopathy,confusion,0.35
encephalopathy,mental confusion,0.257
encephalopathy,fluid in the abdomen,0.159
encephalopathy,flapping tremor,0.117
encephalopathy,lethargy,0.075
encephalopathy,yellow skin and eyes,0.042
encephalopathy,infection,0.04
encephalopathy,seizures,0.038
encephalopathy,swollen veins in the lower esophagus,0.033
encephalopathy,depression,0.025
encephalopathy,sadness,0.025
encephalopathy,unsteady gait,0.021
encephalopathy,agitation,0.021
encephalopathy,fatigue,0.016
encephalopathy,tremor,0.015
encephalopathy,weakness,0.015
encephalopathy,slurred speech,0.014
encephalopathy,delirium,0.014
encephalopathy,abdominal distension,0.011
encephalopathy,visual hallucinations,0.011
encephalopathy,falling,0.009
encephalopathy,kidney failure,0.009
encephalopathy,incontinence,0.008
endometrial cancer,nausea,0.096
endometrial cancer,fever,0.069
endometrial cancer,vaginal bleeding,0.042
endometrial cancer,vomiting,0.04
endometrial cancer,bowel obstruction,0.033
endometrial cancer,fatigue,0.029
endometrial cancer,weight loss,0.028
endometrial cancer,pain in upper abdomen,0.025
endometrial cancer,lethargy,0.024
endometrial cancer,constipation,0.023
endometrial cancer,diarrhea,0.022
endometrial cancer,abdominal pain,0.02
endometrial cancer,regurgitation,0.018
endometrial cancer,abdominal distension,0.018
endometrial cancer,weakness,0.018
endometrial cancer,bleeding,0.017
endometriosis,pain,0.567
endometriosis,nausea,0.287
endometriosis,abdominal pain,0.202
endometriosis,pelvic pain,0.142
endometriosis,vomiting,0.113
endometriosis,diarrhea,0.077
endometriosis,cramping,0.076
endometriosis,tenderness,0.07
endometriosis,bleeding,0.057
endometriosis,vaginal bleeding,0.053
endometriosis,constipation,0.047
endometriosis,lower abdominal pain,0.046
endometriosis,cyst,0.037
endometriosis,chills,0.034
endometriosis,spotting,0.026
endometriosis,vaginal discharge,0.021
endometriosis,flank pain,0.019
endometriosis,severe pain,0.017
endometriosis,pain in lower abdomen,0.016
endometriosis,depression,0.016
endometriosis,sadness,0.016
endometriosis,acute episodes,0.014
endometriosis,loss of appetite,0.014
endometriosis,vaginal pain,0.012
endometriosis,pain during urination,0.012
endometriosis,discomfort,0.012
endometriosis,lethargy,0.011
endometriosis,bleeding from anus,0.01
endometriosis,fatigue,0.01
epididymitis,testicle pain,0.577
epididymitis,pain,0.567
epididymitis,swelling,0.283
epididymitis,tenderness,0.156
epididymitis,groin pain,0.126
epididymitis,infection,0.098
epididymitis,pain during urination,0.082
epididymitis,chills,0.062
epididymitis,blood in urine,0.055
epididymitis,nausea,0.053
epididymitis,redness,0.052
epididymitis,discomfort,0.04
epididymitis,lump,0.04
epididymitis,lower abdominal pain,0.03
epididymitis,fever,0.027
epididymitis,cyst,0.023
epididymitis,severe pain,0.019
epididymitis,vomiting,0.018
epididymitis,flank pain,0.015
epididymitis,drooping of upper eyelid,0.014
epididymitis,rectal pain,0.013
epididymitis,pelvic pain,0.011
epididymitis,frequent urge to urinate,0.011
epilepsy,seizures,0.604
epilepsy,confusion,0.059
epilepsy,headache,0.053
epilepsy,depression,0.048
epilepsy,sadness,0.048
epilepsy,brief visual or sensory abnormality,0.046
epilepsy,mental confusion,0.044
epilepsy,weakness,0.04
epilepsy,anxiety,0.028
epilepsy,falling,0.018
epilepsy,incontinence,0.017
epilepsy,lethargy,0.016
epilepsy,dizziness,0.014
epilepsy,fainting,0.013
epilepsy,weakness of one side of the body,0.012
epilepsy,leaking of urine,0.012
epilepsy,agitation,0.012
epilepsy,unsteady gait,0.011
epilepsy,tremor,0.008
epilepsy,infection,0.008
epilepsy,fast heart rate,0.007
epilepsy,tenderness,0.007
epilepsy,problems with coordination,0.007
epilepsy,low blood pressure,0.006
epilepsy,sleepiness,0.006
esophageal cancer,nausea,0.138
esophageal cancer,weakness,0.103
esophageal cancer,vomiting,0.099
esophageal cancer,difficulty swallowing,0.072
esophageal cancer,abdominal pain,0.065
esophageal cancer,lethargy,0.065
esophageal cancer,fatigue,0.063
esophageal cancer,dehydration,0.06
esophageal cancer,coughing,0.049
esophageal cancer,fast heart rate,0.048
esophageal cancer,shortness of breath,0.045
esophageal cancer,low blood pressure,0.043
esophageal cancer,failure to thrive,0.024
esophageal cancer,vomiting blood,0.023
esophageal cancer,weight loss,0.021
esophageal cancer,lightheadedness,0.018
esophageal cancer,diarrhea,0.017
esophageal cancer,phlegm,0.015
esophageal cancer,constipation,0.014
esophageal cancer,fever,0.013
esophageal cancer,back pain,0.012
esophageal cancer,rib pain,0.012
esophageal cancer,belching,0.012
esophageal cancer,malaise,0.011
esophageal cancer,redness,0.011
esophageal cancer,dark urine,0.01
esophageal cancer,yellow skin and eyes,0.008
esophageal cancer,gagging,0.008
fibroids,pain,0.423
fibroids,bleeding,0.201
fibroids,vaginal bleeding,0.181
fibroids,abdominal pain,0.136
fibroids,nausea,0.125
fibroids,cramping,0.099
fibroids,pelvic pain,0.073
fibroids,tenderness,0.073
fibroids,heavy or prolonged periods,0.053
fibroids,cyst,0.053
fibroids,spotting,0.051
fibroids,lower abdominal pain,0.047
fibroids,chills,0.045
fibroids,pain during urination,0.034
fibroids,lightheadedness,0.033
fibroids,dizziness,0.031
fibroids,constipation,0.03
fibroids,fever,0.029
fibroids,discomfort,0.028
fibroids,vaginal discharge,0.026
fibromyalgia,pain,0.381
fibromyalgia,depression,0.112
fibromyalgia,sadness,0.112
fibromyalgia,nausea,0.106
fibromyalgia,back pain,0.068
fibromyalgia,anxiety,0.068
fibromyalgia,weakness,0.045
fibromyalgia,chills,0.035
fibromyalgia,abdominal pain,0.033
fibromyalgia,headache,0.025
fibromyalgia,numbness,0.025
fibromyalgia,lethargy,0.025
fibromyalgia,chronic back pain,0.022
fibromyalgia,fatigue,0.02
fibromyalgia,diarrhea,0.02
fibromyalgia,acute episodes,0.019
fibromyalgia,tenderness,0.016
fibromyalgia,arm pain,0.016
fibromyalgia,infection,0.014
fibromyalgia,constipation,0.013
fibromyalgia,neck pain,0.012
fibromyalgia,flank pain,0.011
fibromyalgia,incontinence,0.011
fibromyalgia,discomfort,0.011
fibromyalgia,shoulder pain,0.01
fibromyalgia,leg pain,0.01
fibromyalgia,leaking of urine,0.01
fibromyalgia,knee pain,0.01
fibromyalgia,hip pain,0.009
fibromyalgia,fever,0.009
fibromyalgia,chest tightness,0.009
fibromyalgia,dizziness,0.008
fibromyalgia,muscle pain,0.008
fibromyalgia,crying,0.008
fibromyalgia,vertigo,0.007
fibromyalgia,severe pain,0.007
fibromyalgia,dehydration,0.007
fibromyalgia,bruising,0.006
fibromyalgia,pelvic pain,0.006
fibromyalgia,sensitivity to light,0.006
fibromyalgia,chest pressure,0.005
fibromyalgia,lesion,0.005
gallstones,pain,0.663
gallstones,nausea,0.281
gallstones,abdominal pain,0.227
gallstones,pain in upper abdomen,0.117
gallstones,vomiting,0.113
gallstones,chills,0.057
gallstones,tenderness,0.043
gallstones,abdominal cramping from gallstones,0.031
gallstones,yellow skin and eyes,0.025
gallstones,pain in upper-right abdomen,0.025
gallstones,diarrhea,0.025
gallstones,fever,0.023
gallstones,flank pain,0.02
gallstones,upper abdominal pain,0.02
gallstones,constipation,0.015
gallstones,discomfort,0.014
gallstones,dark urine,0.011
gallstones,loss of appetite,0.01
gallstones,severe pain,0.009
gallstones,belching,0.007
gallstones,discomfort in upper abdomen,0.007
gallstones,intermittent pain,0.006
gallstones,cyst,0.006
gastritis,pain,0.42
gastritis,nausea,0.284
gastritis,vomiting,0.198
gastritis,abdominal pain,0.184
gastritis,pain in upper abdomen,0.162
gastritis,diarrhea,0.08
gastritis,chills,0.048
gastritis,vomiting blood,0.029
gastritis,tenderness,0.028
gastritis,discomfort,0.027
gastritis,constipation,0.022
gastritis,cramping,0.021
gastritis,anxiety,0.019
gastritis,discomfort in upper abdomen,0.018
gastritis,depression,0.016
gastritis,sadness,0.016
gastritis,dizziness,0.014
gastritis,dark stool from digested blood,0.013
gastritis,weight loss,0.012
gastritis,upper abdominal pain,0.012
gastroparesis,pain,0.517
gastroparesis,vomiting,0.516
gastroparesis,nausea,0.468
gastroparesis,abdominal pain,0.292
gastroparesis,acute episodes,0.049
gastroparesis,pain in upper abdomen,0.048
gastroparesis,diarrhea,0.039
gastroparesis,gagging,0.022
gastroparesis,depression,0.02
gastroparesis,sadness,0.019
gastroparesis,dehydration,0.019
gastroparesis,constipation,0.015
gastroparesis,fast heart rate,0.015
gastroparesis,anxiety,0.015
gastroparesis,tenderness,0.014
gastroparesis,cramping,0.012
gastroparesis,upper abdominal pain,0.012
gastroparesis,chills,0.009
gastroparesis,discomfort,0.008
gastroparesis,severe anxiety,0.007
gastroparesis,crying,0.007
gastroparesis,abdominal tenderness,0.007
gastroparesis,loss of appetite,0.007
gastroparesis,flank pain,0.006
glaucoma,eye pain,0.082
glaucoma,vision loss,0.06
glaucoma,headache,0.036
glaucoma,redness,0.031
glaucoma,blurred vision,0.03
glaucoma,eye redness,0.021
glaucoma,depression,0.018
glaucoma,sadness,0.018
glaucoma,infection,0.016
glaucoma,weakness,0.015
glaucoma,fainting,0.014
glaucoma,bone loss,0.014
goiter,weakness,0.055
goiter,racing heartbeat,0.055
goiter,lump,0.045
goiter,neck pain,0.044
goiter,shortness of breath,0.042
goiter,cyst,0.038
goiter,dizziness,0.031
goiter,difficulty swallowing,0.031
goiter,sore throat,0.03
goiter,ear pain,0.028
goiter,chills,0.028
goiter,memory loss,0.023
goiter,chest pressure,0.022
goiter,fast heart rate,0.022
goiter,neck swelling,0.02
goiter,indigestion,0.019
gout,pain,0.274
gout,swelling,0.246
gout,redness,0.103
gout,acute episodes,0.097
gout,foot pain,0.092
gout,knee pain,0.073
gout,ankle pain,0.053
gout,toe pain,0.045
gout,wrist pain,0.022
gout,infection,0.021
gout,elbow pain,0.017
gout,tenderness,0.017
gout,leg pain,0.017
gout,hand pain,0.016
gout,joint pain,0.014
gout,fever,0.011
gout,hand swelling,0.01
gout,difficulty walking,0.009
gout,hip pain,0.008
gout,kidney failure,0.008
gout,limping,0.007
gout,chills,0.007
gout,arm pain,0.006
gout,lump on the skin or joint,0.006
gout,swollen knee,0.005
groin hernia,pain,0.502
groin hernia,groin pain,0.144
groin hernia,abdominal pain,0.075
groin hernia,swelling,0.054
groin hernia,nausea,0.052
groin hernia,constipation,0.043
groin hernia,vomiting,0.04
groin hernia,lump,0.04
groin hernia,testicle pain,0.036
groin hernia,discomfort,0.035
groin hernia,bowel obstruction,0.021
groin hernia,sharp pain,0.019
groin hernia,tenderness,0.016
groin hernia,urinary retention,0.016
groin hernia,diarrhea,0.015
groin hernia,lower abdominal pain,0.013
groin hernia,chills,0.013
heart attack,pain,0.177
heart attack,nausea,0.104
heart attack,anxiety,0.052
heart attack,chest pressure,0.047
heart attack,shortness of breath,0.041
heart attack,racing heartbeat,0.035
heart attack,shoulder pain,0.032
heart attack,chest discomfort,0.03
heart attack,numbness,0.028
heart attack,discomfort,0.024
heart attack,dizziness,0.022
heart attack,arm pain,0.02
heart attack,depression,0.02
heart attack,sadness,0.02
heart attack,pain in upper abdomen,0.018
heart attack,neck pain,0.017
heart attack,chest tightness,0.014
heart attack,jaw pain,0.014
heart attack,vomiting,0.013
heart attack,discomfort in upper abdomen,0.012
heart attack,indigestion,0.01
